        Email,Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Total Purchases,Discounts,Customer_id,Date,Tier_Membership,Time Revisited,Demographics,Location,Feedback/Ratings,Category_Liked,Gender
angelaphillips@gmail.com,"102 Karen CourtNew Jameston, SC 57761-6570",MintCream,11.96,36.63,4.11,516.83,849.31,0.23,1577693,2021-02-09,Regular,30,22,Chennai,4.9,Free to Play,Female
donald67@harrison.com,"9759 Tammy Skyway Apt. 171Lake Debra, AS 95011",Lime,10.65,37.15,3.22,468.45,497.61,0.12,3729510,2022-08-18,Regular,1,23,Delhi,3.5,Battle Royale,Male
zmalone@yahoo.com,"PSC 6717, Box 7673APO AE 66950-0088",Moccasin,12.75,36.71,3.28,548.28,297.16,0.23,5253674,2023-07-13,Regular,48,24,Kalyan,4.4,Building & Automation,Male
rlindsey@norris.com,"581 Smith Prairie Suite 995Andersontown, AS 58802",Green,11.54,37.53,2.92,431.62,632.31,0.12,6825123,2022-11-15,Medium,4,25,Mumbai,4.7,Third-Person Shooter,Female
lewisgabrielle@hotmail.com,"422 Rivers Springs Suite 221North Barbara, WI 51990-7596",LightSkyBlue,11.92,37.25,3.91,552.94,137.57,0.23,7756540,2023-04-20,Regular,24,26,Pune,3.8,First-Person Shooter,Male
kristina69@gmail.com,"2859 Rodriguez ForksPort Josephtown, OH 13591-3011",BlueViolet,12.42,38.95,4.92,573.31,924.28,0.12,8396283,2021-04-10,Medium,22,27,Chennai,4.1,Strategy,Female
krista86@norton.net,"0537 Rice VillageWest Kylieberg, NJ 19433-5090",Azure,11.81,37.41,2.47,452.63,580.98,0.23,9384501,2021-08-04,Regular,44,28,Delhi,4.3,Puzzle,Male
chelsea05@hansen.com,"7182 Stephen Fork Suite 150Port Laurachester, CO 99974-1961",LightGray,12.76,36.6,4.13,542.71,241.52,0.12,1064257,2023-01-14,Medium,7,29,Kalyan,3.6,Story-Rich,Male
jill33@allen.com,"459 Amy BurgLake Travis, OR 53314",DarkCyan,11.85,37.42,1.77,407.8,698.24,0.23,1332687,2022-07-09,Medium,11,30,Mumbai,4.8,Singleplayer,Female
welchashlee@hotmail.com,"PSC 8159, Box 3254APO AP 71071-4890",GreenYellow,12.7,36.1,2.72,482.35,459.73,0.69,1628743,2022-03-14,Medium,49,31,Pune,4,Multiplayer Horror,Male
dawnlewis@watkins.org,"623 Erica FlatLake Josephland, MT 73514",Crimson,12.22,36.59,3.9,529.23,829.62,0.23,3802410,2022-09-25,Regular,17,32,Chennai,4.5,Mystery & Detective,Female
ashleychristopher@gmail.com,"9271 Christopher PrairieDouglasshire, NM 18581",MediumOrchid,11.28,36.49,2.49,433.05,343.76,0.12,5371947,2023-02-08,Medium,15,33,Delhi,4.2,Open World,Female
acontreras@hotmail.com,"88995 Edwards Row Suite 456North Jo, DE 02062-7953",Sienna,10.74,37.46,3.86,476.19,587.13,0.23,6943250,2021-09-30,Regular,34,34,Kalyan,3.9,Sci-Fi & Cyberpunk,Female
alvaradoadam@jones-thompson.com,"35970 Holly KeyPort Frank, VT 78059-9385",Aquamarine,10.96,37.33,3.58,440,954.12,0.12,7885687,2021-03-24,Medium,27,35,Mumbai,4.6,Space,Male
thomasgeorge@gonzalez-grant.com,"93306 Donald GreensNew Christopherbury, SC 59447",FloralWhite,11.74,36.6,3.96,448.93,380.68,0.23,8504503,2022-01-30,Free Trial,18,36,Pune,3.7,Survival,Female
solischristina@gmail.com,"43102 Russo View Suite 717Hollyport, SC 15344",SlateBlue,12.42,35.98,3.25,472.99,968.27,0.12,9516842,2023-11-01,Regular,23,37,Chennai,4.9,Free to Play,Male
jacksonboone@rubio.com,"973 Marc PortsBrownstad, IN 48786-6700",Sienna,10.54,35.73,3.91,463.92,488.71,0.23,1089753,2023-05-29,Regular,50,38,Delhi,3.5,Battle Royale,Female
kaitlyn78@chang.com,"978 Bean SquareDeanburgh, OR 95149",LimeGreen,11.92,39.29,1.44,350.06,758.22,0.12,1367583,2022-12-12,Medium,20,39,Kalyan,4.4,Building & Automation,Male
francisgeorge@thomas.org,"27563 Vincent LakeAllenchester, DC 22159",Teal,11.91,38.27,2.91,460.06,504.86,0.23,1670563,2023-08-11,Regular,40,40,Mumbai,4.7,Third-Person Shooter,Male
linda90@yoder.org,"979 Alison Motorway Apt. 676North Frank, HI 55870-2651",WhiteSmoke,12.49,36.52,3.35,505.77,925.85,0.12,3925467,2022-05-06,Medium,32,41,Chennai,3.8,First-Person Shooter,Female
david79@lopez-montes.com,"969 William ManorWest Sherry, MA 66282-2258",Purple,12.38,37.23,3.09,463.48,406.67,0.23,5496782,2021-06-16,Medium,43,42,Pune,4.1,Strategy,Male
micheleblanchard@lopez-greene.com,"555 Hunt Track Suite 307South Kristi, PA 73709",SlateGray,10.48,37.34,4.51,479.73,157.21,0.12,7074981,2022-04-29,Regular,26,43,Delhi,4.3,Puzzle,Female
pmercado@rodriguez.com,"811 Maria RunSanchezville, MI 04953",LightPink,12.3,36.95,1.83,424.19,809.77,0.23,8023482,2021-11-13,Medium,2,44,Kalyan,3.6,Story-Rich,Male
james30@carter.biz,"3604 Richard Junctions Suite 448Brownburgh, CO 64856-8238",LimeGreen,10.86,36.58,3.99,465.89,346.89,0.12,8659437,2022-10-09,Medium,46,45,Mumbai,4.8,Singleplayer,Male
parkerkayla@miles.com,"170 Andrew MewsNorth Susan, NM 85338-2426",DarkSlateBlue,10.72,38.31,2.65,426.78,243.84,0.23,9648750,2023-03-31,Regular,0,46,Chennai,4,Multiplayer Horror,Female
alicia85@lee.com,"14220 Carla Flat Suite 521Lake Matthew, DE 06183",DimGray,12.39,37.43,6.4,684.16,687.74,0.12,1111952,2021-05-15,Regular,19,47,Pune,4.5,Mystery & Detective,Male
dominguezjacob@hotmail.com,"8594 Erica Manors Apt. 529Lake Miguel, MH 10652-9266",CornflowerBlue,10.98,37.4,5.39,555.89,537.26,0.23,1415275,2022-07-03,Premium,28,48,Delhi,4.2,Open World,Female
ebrown@osborne.com,"4291 Nichols Fork Apt. 562Thomaschester, SC 08938-8769",DarkSlateGray,12.97,36.97,6.08,657.02,393.29,0.12,1724756,2023-07-18,Medium,14,49,Kalyan,3.9,Sci-Fi & Cyberpunk,Female
nathan86@hotmail.com,"748 Michael PlazaWest Billyside, UT 20799",MidnightBlue,12.05,36.96,3.86,595.8,780.74,0.23,4019348,2022-02-02,Medium,10,50,Mumbai,4.6,Space,Female
aaron11@luna.com,"672 Jesus Roads Apt. 443Thompsonland, WY 69228",LightSkyBlue,13.46,37.24,2.94,503.98,150.89,0.12,5613489,2021-08-10,Medium,6,51,Chennai,3.7,Survival,Male
fsnow@ellis.com,"0272 Jones WayLake Angela, MP 97003-5793",MediumBlue,12.44,37.33,5.08,586.16,741.57,0.23,7227840,2021-12-20,Premium,33,52,Pune,4.9,Free to Play,Female
asilva@yahoo.com,USNV JohnsonFPO AP 19026,Wheat,12.21,33.91,6.92,744.22,425.89,0.12,8163920,2022-09-05,Regular,48,53,Delhi,3.5,Battle Royale,Male
casey21@johnson.com,"691 Johnson Field Apt. 510Michaelville, VI 78140",SpringGreen,11.59,39.09,3.6,512.83,593.75,0.23,8809523,2023-10-26,Medium,12,54,Kalyan,4.4,Building & Automation,Female
campbellross@yahoo.com,"6218 Michael Station Apt. 982Salazarburgh, NJ 79955",DarkRed,11.38,38.3,3.78,528.22,270.45,66,9787546,2022-07-20,Regular,9,55,Mumbai,4.7,Third-Person Shooter,Male
blevinseric@stephens.com,"PSC 3676, Box 1549APO AE 26130-7683",Orange,12.36,38.04,3.31,468.91,950.37,0.23,1133982,2022-11-03,Medium,41,56,Pune,3.8,First-Person Shooter,Male
stevenking@patterson.com,"94730 Martin MountNew Matthew, VI 08142-6708",LightGray,12.4,35.01,0.97,357.59,389.17,98,1465873,2021-12-27,Medium,3,57,Chennai,4.1,Strategy,Female
samuel94@hotmail.com,"5480 Vazquez Crossing Suite 825East Christopherland, PA 42104",DarkViolet,12.54,38.31,3.77,536.42,634.99,0.23,1775467,2023-09-30,Medium,5,58,Delhi,4.3,Puzzle,Male
johnsonpaul@keller-woodard.org,USCGC DodsonFPO AA 87781-3935,LimeGreen,13.28,36.94,3.59,490.21,275.84,0.12,4132845,2021-07-20,Regular,45,59,Kalyan,3.6,Story-Rich,Female
twilliams@gibbs.net,Unit 6678 Box 6628DPO AP 44369,CadetBlue,11.8,37.66,4.52,550.05,980.76,0.23,5746823,2022-05-23,Medium,16,60,Mumbai,4.8,Singleplayer,Male
teresapacheco@salinas.biz,"75805 Larry MillsEast Cristian, MH 53820",DarkMagenta,12.72,37.66,3.68,513.45,253.62,0.12,7374891,2021-04-07,Free Trial,37,61,Chennai,4,Multiplayer Horror,Male
allison80@carson-hansen.com,"04311 Oconnor Park Apt. 415Kelleystad, ND 63064-8935",ForestGreen,12.04,38.92,2.87,497.81,914.24,0.23,8296345,2023-03-11,Medium,30,62,Pune,4.5,Mystery & Detective,Female
turnerryan@hotmail.com,"770 Lewis Pike Apt. 869Phelpsport, PA 93969-4887",LightSkyBlue,12.47,35.04,4.06,578.99,693.21,0.12,8967123,2022-10-12,Medium,7,63,Delhi,4.2,Open World,Male
walkererica@scott.com,"86536 Barnes TrackSouth Kyle, MT 21570-5606",MediumAquaMarine,13.16,36.41,3.02,506.54,478.79,0,9923542,2023-04-14,Medium,47,64,Kalyan,3.9,Sci-Fi & Cyberpunk,Female
mark94@yahoo.com,"586 Timothy Union Suite 592East Joseph, MO 81374",Salmon,11.05,37.63,4.72,501.75,241.17,10.23,1152963,2021-02-19,Medium,25,65,Mumbai,4.6,Space,Female
daniellecuevas@hotmail.com,"9287 Daniel Rest Apt. 608Allentown, SD 73050",LavenderBlush,10.64,37.58,2.93,421.97,819.43,5.75,1517482,2022-12-19,Regular,22,66,Pune,3.7,Survival,Female
gbarnes@gmail.com,"8667 Suzanne Motorway Suite 241Spencechester, KY 74385-4618",Green,13.44,36.88,2.36,439.89,681.79,15.89,1825643,2023-08-30,Regular,39,67,Chennai,4.9,Free to Play,Male
cody68@hotmail.com,"374 Dana JunctionsLangside, WI 36474",SpringGreen,13.28,35.91,4.97,666.13,439.42,8.12,4259831,2021-06-23,Medium,38,68,Delhi,3.5,Battle Royale,Female
fischermonica@gmail.com,"9847 Michael Plaza Suite 837Lake Christophershire, NV 87324-8427",Navy,11.75,36.94,0.8,298.76,128.59,12.45,5874950,2022-03-30,Regular,21,69,Kalyan,4.4,Building & Automation,Male
brenda25@gmail.com,"353 Jones Loaf Apt. 767South Michaelburgh, PR 16281-4840",OliveDrab,10.86,38.84,3.67,465.18,775.14,6.78,7523469,2023-01-05,Medium,1,70,Mumbai,4.7,Third-Person Shooter,Female
david58@yahoo.com,"6058 Thomas DivideMatthewland, PA 89442-8198",LightSalmon,11.69,37.48,1.72,373.89,576.12,9.34,8437261,2023-07-22,Medium,24,71,Pune,3.8,First-Person Shooter,Male
clifford76@johnson.com,"8032 Hodge Circle Apt. 255Lake Jessicashire, OR 54914",RosyBrown,11.55,38.58,4.77,532.72,342.89,13.56,9124750,2022-08-04,Medium,29,72,Chennai,4.1,Strategy,Male
jacquelinehughes@bennett-branch.info,"601 Ashley Loop Suite 162Port Benjaminview, DE 02456",DeepPink,11.72,36.81,4.09,554.9,976.46,7.89,1009247,2021-10-26,Medium,8,73,Delhi,4.3,Puzzle,Female
victoria53@hotmail.com,"16329 Sara Neck Apt. 463Bryanside, TX 62329",Pink,12.18,35.67,4.13,537.77,109.34,11.23,1174923,2021-08-01,Premium,31,74,Kalyan,3.6,Story-Rich,Male
cunninghamkyle@ellis-parker.org,"449 Williamson Lakes Apt. 118Travisville, AK 06848-0177",LightGreen,12.32,37.82,3.44,501.1,964.78,4.56,1569374,2022-04-21,Medium,34,75,Mumbai,4.8,Singleplayer,Female
jjones@yahoo.com,"047 Carla LocksCoreymouth, AR 98066",GreenYellow,11.08,37.96,4.72,517.17,491.25,14.67,1884927,2022-01-09,Regular,50,32,Pune,4,Multiplayer Horror,Male
michaelferguson@torres-miles.net,"757 Amber Gateway Apt. 787New Stephaniechester, OR 61576-6056",Sienna,13.18,38.86,3.23,557.53,861.28,6.45,4375910,2022-06-06,Medium,13,24,Chennai,4.5,Mystery & Detective,Male
crawforderik@price.org,"5183 Michael RampEast Lukeburgh, FL 93972",DarkKhaki,12.83,37.68,2.97,493.72,321.66,9.12,6012349,2023-06-22,Regular,36,18,Delhi,4.2,Open World,Female
jlawson@mccarthy.com,"0127 Morgan Fields Apt. 080Thompsonfurt, ME 01160-7043",LightGray,11.51,37.25,3.18,452.12,602.13,3.78,7649843,2022-02-06,Medium,18,40,Kalyan,3.9,Sci-Fi & Cyberpunk,Male
marshchristopher@zimmerman-villegas.com,"667 Stephanie Lake Apt. 658Marthashire, NC 11815-2307",DarkRed,11.86,36.09,4.81,577.27,125.24,12.34,8564790,2021-11-04,Regular,42,31,Mumbai,4.6,Space,Female
oolson@collins.com,"07867 Horn LakeWest Teresatown, VT 64387-1228",Aqua,12.29,37.06,3.62,485.92,806.92,8.67,9287435,2021-09-19,Regular,11,22,Chennai,3.7,Survival,Female
isaiahcampbell@yahoo.com,"55414 Ramirez Union Apt. 614West Crystal, CA 03845-2631",Red,10.93,36.55,3.26,425.75,492.61,5.89,1027843,2022-07-15,Medium,4,19,Pune,4.9,Free to Play,Female
kcannon@alvarez-cline.info,"55479 Peters Field Apt. 702North Micheleberg, PR 45063",Lavender,13.33,37.96,3.6,537.22,287.95,11.78,1218395,2022-03-11,Medium,26,28,Delhi,3.5,Battle Royale,Male
nielsencarmen@harrell.net,"2491 Yates Crest Suite 316Connieville, FL 92080-0819",DeepPink,10.9,36.09,4.79,524.64,793.42,4.23,1614387,2023-05-11,Medium,40,37,Kalyan,4.4,Building & Automation,Female
efreeman@moore.com,"223 Powell RidgesEast Richardtown, RI 90715-2178",White,12.28,38.23,3.32,478.89,385.42,13.45,1946850,2022-09-19,Regular,17,23,Mumbai,4.7,Third-Person Shooter,Male
roblessarah@hotmail.com,"022 Taylor Mews Suite 692Hallberg, NJ 53614",MediumSeaGreen,12.04,37.64,4.63,612.39,728.59,7.56,4487321,2023-03-29,Regular,43,35,Pune,3.8,First-Person Shooter,Female
christopherhaas@gmail.com,"56674 Melanie FlatsSchneiderberg, IN 66532",MediumPurple,11.72,37.15,3.31,476.77,172.84,10.67,6154892,2021-05-30,Medium,2,30,Chennai,4.1,Strategy,Male
ethomas@yahoo.com,"1279 Douglas MountainsPort Christopherberg, RI 32811-8325",LightGreen,11.2,35.49,4.02,505.12,963.24,5.34,7778496,2023-11-10,Medium,16,29,Delhi,4.3,Puzzle,Male
wevans@gmail.com,"222 Jason ParkDominguezshire, NC 98241",Tan,13.38,36.34,4.37,545.95,349.45,14.12,8692567,2023-10-02,Free Trial,45,20,Kalyan,3.6,Story-Rich,Female
patrickorr@yahoo.com,"6009 Heather ParkHowardhaven, SD 51705-2993",LawnGreen,11.39,37.91,2.57,434.02,912.67,6.23,9438645,2021-12-15,Medium,5,43,Mumbai,4.8,Singleplayer,Male
mary84@edwards.com,"19123 Craig Isle Apt. 719Millsmouth, SC 94194",LightSkyBlue,10.77,37.28,3.52,424.68,149.95,12.89,1049675,2021-04-29,Premium,27,17,Chennai,4,Multiplayer Horror,Female
longwilliam@gmail.com,"16068 Kelly ParksWrightside, NH 21447",BurlyWood,11.82,37.1,1.5,352.55,832.34,7.12,1257382,2022-10-02,Regular,49,33,Pune,4.5,Mystery & Detective,Male
lisagutierrez@johnson-herring.net,"89300 Amber Centers Apt. 879Victoriaton, VT 98394",Peru,13.81,37.43,5.04,662.96,501.19,10.45,1657382,2022-05-17,Regular,7,25,Delhi,4.2,Open World,Male
david81@hotmail.com,"1576 Lane ShoalRogerton, PR 63867-3426",Thistle,11.66,37.28,4.48,560.56,226.53,4.89,1992365,2023-02-27,Medium,3,42,Kalyan,3.9,Sci-Fi & Cyberpunk,Female
jacksonking@mccormick.com,"120 Micheal Fort Apt. 762East Patrickbury, WY 65946",DarkMagenta,13.1,35.91,3.36,467.5,664.29,13.23,4603567,2023-07-29,Premium,10,27,Mumbai,4.6,Space,Male
jessica04@christian-riley.com,"338 Graham Loaf Suite 236East Toddton, FM 43566-4238",LemonChiffon,13.07,36.68,1.92,504.87,583.77,6.67,6298754,2022-11-27,Regular,15,34,Pune,3.7,Survival,Female
simmonsmartin@hardy.com,"2302 Joshua ParkMillerbury, WA 30239-8144",MediumVioletRed,12.49,36.05,4.33,590.56,322.94,9.56,7918450,2023-09-04,Regular,36,21,Chennai,4.9,Free to Play,Female
michellejohnson@sanders-rodriguez.com,"70562 Gonzalez StravenueElizabethland, WI 40700-9149",Teal,11.34,37.04,3.81,443.97,760.19,3.45,8812468,2021-02-14,Regular,38,44,Delhi,3.5,Battle Royale,Female
tylerhernandez@barton.info,"7613 Miguel Knoll Suite 762West Katherine, WV 19406",SlateGray,11.2,38.69,3.09,392.5,477.75,11.56,9573427,2021-08-25,Regular,8,36,Mumbai,4.4,Building & Automation,Male
connerjoseph@gmail.com,"981 David SquareNew Jacquelinetown, AK 66018-4092",Turquoise,11.33,35.46,4.54,568.72,287.16,5.12,1079347,2022-04-05,Medium,14,26,Kalyan,4.7,Third-Person Shooter,Female
jeffrey54@mcdonald-williams.com,"297 Francis ValleySouth Lindsey, NY 13669-5367",Gainsboro,13.92,37.95,5.07,712.4,945.13,8.34,1294683,2022-01-01,Medium,23,45,Pune,3.8,First-Person Shooter,Male
hevans@kelly-nunez.org,Unit 4065 Box 2267DPO AE 69180-7372,Orchid,11.03,38.25,3.11,413.3,404.65,2.67,1692567,2023-06-30,Medium,32,38,Delhi,4.1,Strategy,Female
lewiskendra@yahoo.com,"988 Matthew PlazaLake Jacobshire, AL 37889",Yellow,11.08,36.78,4.75,562.08,777.29,10.12,2079865,2022-08-25,Medium,1,16,Chennai,4.3,Puzzle,Male
freemantina@cannon.org,"870 Dennis ThroughwayWilsonport, PW 12658",AntiqueWhite,10.54,35.53,3.09,412.01,616.43,4.34,4723498,2021-06-09,Medium,46,39,Mumbai,3.6,Story-Rich,Male
wagnerbrian@hotmail.com,"50593 Wells Roads Apt. 110South Amy, MI 06969-2026",AliceBlue,11.8,37.78,3.2,468.67,403.47,7.45,6412490,2022-12-29,Free Trial,20,41,Pune,4.8,Singleplayer,Female
melissa08@nelson.com,"15863 Harrington Glens Suite 012Marystad, LA 50652-8210",Tomato,12.44,38.13,3.85,496.55,901.76,2.23,8083720,2022-03-25,Medium,19,46,Kalyan,4,Multiplayer Horror,Male
karina59@gmail.com,"9580 Clark Trail Suite 687Williamsside, FM 57367",PapayaWhip,12.1,36.06,3.97,548.52,574.99,9.78,8957348,2021-10-19,Medium,29,47,Chennai,4.5,Mystery & Detective,Female
baldwinbryan@estrada-silva.biz,"1470 Kathleen PassSouth Christopherberg, SD 22850",MediumSeaGreen,12.38,38.76,3.84,536.13,387.49,3.12,9685723,2021-03-07,Medium,9,50,Delhi,4.2,Open World,Male
audreyguerrero@carey.com,"1995 Susan Locks Suite 760East Cheryl, AR 37103-5176",BlueViolet,13.72,35.77,2.91,558.43,200.28,6.12,1103275,2023-05-20,Premium,35,49,Mumbai,3.9,Sci-Fi & Cyberpunk,Male
drew29@hotmail.com,"20888 Erin ViaGrahamville, NH 72913-6101",Tomato,12.73,36.54,1.14,357.86,997.65,1.56,1337365,2023-01-10,Medium,22,52,Pune,4.6,Space,Female
michael00@yahoo.com,"03065 Henry Courts Suite 443Derekstad, VT 88473",DarkSlateGray,13.69,34.89,2.69,529.06,366.47,8.78,1738345,2022-06-13,Medium,31,48,Chennai,3.7,Survival,Male
jgray@khan-allen.com,"1416 Rachel CrescentWest Laurieside, IL 81119-7229",Gold,10.01,38.35,3.11,387.36,942.85,2.12,2164936,2022-07-25,Medium,39,53,Kalyan,4.9,Free to Play,Female
bushsusan@hotmail.com,"20618 David SquareGayland, HI 78719-9628",Moccasin,11.44,36.22,4.85,528.93,612.18,5.67,4837294,2023-04-03,Premium,12,51,Delhi,4.8,Battle Royale,Female
charris@gmail.com,"2781 Matthew Wells Apt. 569Potterview, KS 50763-8282",MediumSeaGreen,12.35,37.12,2.31,420.92,131.59,1.12,6542387,2021-09-07,Regular,44,54,Mumbai,3.9,Building & Automation,Female
longphillip@yahoo.com,"13044 Woods HeightsAndreamouth, ND 52317-6007",LightGreen,10.75,35.74,4.84,496.93,829.17,7.23,8224890,2022-09-12,Regular,4,55,Pune,4.5,Third-Person Shooter,Male
madisonalexander@gmail.com,"791 Allen Trafficway Suite 776Christopherland, DC 41460",Orange,11.59,37.74,3.68,519.37,549.13,2.89,9109387,2022-02-19,Regular,48,56,Chennai,4.2,First-Person Shooter,Female
mfoster@brown-white.com,"36192 Ho SpringNew Michael, RI 65851-6369",Cyan,11.24,37.68,5.25,591.44,212.15,4.45,9797393,2023-11-23,Medium,42,57,Kalyan,4.6,Strategy,Male
sanchezkara@hotmail.com,"40494 Robert ParkHeatherside, IL 70364",SlateBlue,11.11,38.59,3.89,502.41,976.31,78,1114936,2023-08-17,Medium,25,59,Delhi,3.7,Puzzle,Female
floresbradley@hotmail.com,"446 Daniel Rest Suite 644Port Matthewhaven, MN 89465",BlanchedAlmond,12.11,36.29,4.39,604.33,678.89,6.78,1346275,2021-05-01,Regular,13,58,Mumbai,4.9,Story-Rich,Male
lamryan@curtis-garcia.net,"96393 Joshua RapidsJonesview, VA 58733",LavenderBlush,11.87,37.72,4,555.07,446.29,2.45,1772378,2022-10-16,Medium,37,61,Pune,3.5,Singleplayer,Male
alexandra26@summers-davis.com,Unit 7032 Box 7016DPO AE 44749-2992,Navy,10.26,36.14,0.79,256.67,142.89,3.67,2274892,2021-11-30,Medium,47,60,Chennai,4.4,Multiplayer Horror,Female
ocortez@gmail.com,"4800 Ashley Spur Apt. 347Dannyfort, GA 23352",MediumBlue,12.17,37.07,4.4,547.11,794.55,0.23,4952861,2023-03-07,Medium,6,62,Delhi,4.7,Mystery & Detective,Male
melinda39@morton.info,"13693 Cox Falls Apt. 693Padillaview, PW 28998-0386",Moccasin,13.09,37.61,2.65,461.92,559.67,5.45,6663489,2022-04-16,Regular,0,64,Kalyan,3.8,Open World,Female
lisa94@jackson.com,"40288 Stephens Corner Apt. 221West Stephanie, OK 55617-4332",CadetBlue,13.01,36.65,2.37,458.38,358.74,1.78,8349675,2021-07-27,Medium,34,63,Mumbai,4.1,Sci-Fi & Cyberpunk,Male
lucastaylor@yahoo.com,"63872 Chavez LodgeDanielton, NJ 85847",MediumTurquoise,10.98,37.95,3.05,436.28,805.77,3.23,9263490,2022-05-30,Medium,17,65,Chennai,4.3,Space,Male
apark@walsh-obrien.net,"28942 Bradford CrescentNew Morganfurt, MD 77162-0478",DarkGreen,13.11,35.57,3.64,532.94,406.93,0.12,9903875,2021-12-05,Medium,50,66,Pune,3.6,Survival,Female
dominguezmaria@gmail.com,"1768 Rosales Ford Apt. 793Lake Markbury, SC 31567",RoyalBlue,12.14,37.26,3.4,512.55,955.61,4.12,1138250,2022-01-23,Premium,26,68,Delhi,4.8,Free to Play,Male
jimmy11@hardin.com,"496 Bush Turnpike Apt. 674Donnabury, OR 32596-0079",DarkGoldenRod,13.91,37.79,4.3,630.42,531.78,1.34,1362398,2023-06-04,Regular,11,67,Kalyan,4,Battle Royale,Female
patriciajackson@jenkins.info,"981 Matthew Valley Apt. 621Lake Tracyburgh, NM 33288-1364",Thistle,11.4,37.33,3.8,463.75,248.84,2.12,1817243,2023-10-06,Medium,21,70,Mumbai,4.5,Building & Automation,Female
rayvanessa@fischer.com,"2583 Mark SpringsLake Robert, AL 40928",White,13.03,37.08,2.63,493.18,841.56,0.67,2374938,2021-02-09,Medium,41,69,Pune,4.2,Third-Person Shooter,Female
gharrison@davis.com,"04140 Cameron Brooks Apt. 724South Laurenberg, HI 08562",MediumSpringGreen,11.62,35.97,3.63,501.21,486.19,3.56,2274938,2022-08-18,Premium,3,72,Chennai,3.9,First-Person Shooter,Male
alexandermichael@hotmail.com,"2086 Lisa ViewOrtegabury, MI 43544",WhiteSmoke,12.6,37.37,3.47,501.93,277.92,1.12,3294856,2023-07-13,Medium,28,71,Delhi,4.6,Strategy,Female
christopher66@hotmail.com,"388 Kelly PikeWest Jeffery, DE 44039-7785",BurlyWood,13.19,37.07,1.49,376.34,916.31,2.56,4312765,2022-11-15,Medium,40,73,Kalyan,3.7,Puzzle,Male
archeremily@baldwin.com,USCGC HernandezFPO AE 53064,YellowGreen,13.27,36.97,2.27,421.33,589.76,0.34,5349827,2023-04-20,Medium,16,75,Mumbai,4.9,Story-Rich,Female
hornesteven@gmail.com,"91425 Roy TrailRivaston, NE 34949-2588",White,11.75,38.57,5.02,538.77,471.36,3.12,6364927,2021-04-10,Regular,18,74,Pune,3.5,Singleplayer,Male
william28@gmail.com,"16763 Melissa Creek Suite 367North Keithland, PW 29458",Cyan,11.57,36.91,2.47,398.16,291.92,0.56,7316842,2021-08-04,Medium,49,16,Chennai,4.4,Multiplayer Horror,Male
karenosborne@yahoo.com,"81814 Pratt Squares Suite 460North Robert, GU 77741-1307",SlateBlue,12.64,36.1,4.3,571.47,721.98,1.67,8321749,2023-01-14,Medium,1,17,Delhi,4.7,Mystery & Detective,Female
chansen@holt.com,"2380 Fisher Neck Suite 233Brianland, AZ 34453-0625",LightSkyBlue,11.39,39.08,2.44,451.63,340.68,0.45,9325871,2022-07-09,Free Trial,38,18,Kalyan,3.8,Open World,Male
hallthomas@lane.com,"22630 Bell Centers Suite 030North Danielport, FM 31756",DarkTurquoise,11.82,36.95,3.66,490.6,680.19,2.23,1035174,2022-03-14,Medium,10,19,Mumbai,4.1,Sci-Fi & Cyberpunk,Female
taylorkimberly@yahoo.com,"0030 Mathis Square Suite 154South Jadehaven, AR 33997-4450",Gainsboro,12.73,35.97,5,591.78,418.57,1.89,1149623,2022-09-25,Regular,47,20,Chennai,4.3,Space,Male
clester@yahoo.com,"76778 Underwood KnollNew Gregory, ID 57323",LightCyan,11.2,37.69,2.41,409.07,186.24,0.45,2375948,2023-02-08,Premium,14,21,Pune,3.6,Survival,Male
pvega@hotmail.com,"61629 Johnson UnderpassNew Eric, MI 92352-5044",LightCoral,11.35,36.32,5.31,563.45,862.77,2.78,3397824,2021-09-30,Regular,5,22,Delhi,4.8,Free to Play,Female
vmartin@yahoo.com,"30242 Rubio ForestPort Kyleland, VA 18339-5779",Turquoise,14.22,37.52,4.08,647.62,504.91,1.56,4382765,2021-03-24,Medium,22,23,Kalyan,4,Battle Royale,Male
andreperez@hotmail.com,"17463 George PortsEast Julianborough, WY 68291",DarkOliveGreen,11.55,36.95,3.28,448.34,236.15,45,5397816,2022-01-30,Premium,44,24,Mumbai,4.5,Building & Automation,Female
anntaylor@hotmail.com,"PSC 1634, Box 8167APO AA 49814",Teal,11.92,36.84,3.63,518.79,769.44,1.12,6439725,2023-11-01,Regular,2,25,Chennai,4.2,Third-Person Shooter,Female
hickmanelizabeth@yahoo.com,"12641 Greer Track Apt. 183North Mitchell, IA 77991-6276",DeepPink,12.28,37.19,3.98,523.63,592.94,0.23,7432891,2023-05-29,Medium,29,26,Pune,3.9,First-Person Shooter,Female
halljohn@yahoo.com,"311 Savannah Ramp Suite 245Carlsonbury, LA 08453-6035",MediumTurquoise,10.13,34.85,3.29,393.86,471.42,1.34,8441783,2022-12-12,Medium,6,27,Delhi,4.6,Strategy,Male
cohensean@yahoo.com,"3751 Green LoafNew Julia, VT 20897",DarkCyan,12.03,36.13,2.31,426.15,251.87,0.67,9447392,2023-08-11,Regular,35,28,Kalyan,3.7,Puzzle,Female
